偏移	大小	类型	字符串
001bbd6f	0d	A	@"NSMapTable"
001bbd7d	11	A	@"NSMutableArray"
001bbd8f	1c	A	@"XRAnalysisCorePathManager"
001bbdac	72	A	^{XRIntegerUniquer=^{XRIntegerUniquerBucket}IB^{XRVMPagePool}II**ii{LookupTable=^^vII}{HashTableProperties=IIIII}}
001bbe1f	2c	A	{os_unfair_lock_s="_os_unfair_lock_opaque"I}
001bbe4c	16	A	@"NSMutableDictionary"
001bbe63	08	A	@"NSURL"
001bbe6c	05	A	[12I]
001bbe72	6e	A	{atomic<long long>="__a_"{__cxx_atomic_impl<long long, std::__cxx_atomic_base_impl<long long>>="__a_value"Aq}}
001bbee1	22	A	@"XRAnalysisCoreObjectRegistryTOC"
001bbf06	15	A	@"<XRIssueResponder>"
001bbf1c	1f	A	@"XRAnalysisCoreObjectRegistry"
001bbf3c	13	A	v24@0:8@"NSCoder"16
001bbf50	13	A	@24@0:8@"NSCoder"16
001bbf64	16	A	@56@0:8@16@24@32q40@48
001bbf7b	0a	A	v24@0:8q16
001bbf88	11	A	c36@0:8^@16Q24S32
001bbf9a	23	A	c36@0:8^@16(XRStoredValue=IQI)24S32
001bbfbe	2f	A	@"XRAnalysisCoreTableSchema"24@0:8@"NSString"16
001bbfee	1f	A	@"XRAnalysisCoreTable"20@0:8I16
001bc00e	0e	A	v28@0:8I16@?20
001bc01d	33	A	v28@0:8I16@?<v@?^{XRAnalysisCoreReadCursor=^^?I}>20
001bc051	0a	A	v20@0:8I16
001bc05c	11	A	v36@0:8@16I24@?28
001bc06e	0100	A	{unique_ptr<XRAnalysisCoreAbstractRowArrayCursor, std::default_delete<XRAnalysisCoreAbstractRowArrayCursor>>={__compressed_pair<XRAnalysisCoreAbstractRowArrayCursor *, std::default_delete<XRAnalysisCoreAbstractRowArrayCursor>>=^{XRAnalysisCoreAbstractRowAr
001bc16f	17	A	ayCursor}}}28@0:8@16I24
001bc187	0e	A	v32@0:8@16@?24
001bc196	0d	A	I32@0:8@16Q24
001bc1a4	0d	A	@28@0:8I16@20
001bc1b2	10	A	v40@0:8@16@24@32
001bc1c3	18	A	@"XRAnalysisCoreContext"
001bc1dc	1d	A	@"XRAnalysisCoreTableManager"
001bc1fa	0100	A	{XRBinderEngine="_vptr$XRCLIPS"^^?"_env"^{environmentData}"_strongAddressType"I"_subclassContext"^v"_delegate"@"NSObject""_issueResponder"@"<XRIssueResponder>""_consoleNameRegex"{?="re_magic"i"re_nsub"Q"re_endp"*"re_g"^{re_guts}}"_dumpStringRegex"{?="re_ma
001bc2fb	0100	A	ic"i"re_nsub"Q"re_endp"*"re_g"^{re_guts}}"_dumpedString"@"NSMutableString""_consoleContents"@"NSMutableAttributedString""_currentCommand"@"NSString""_commandStringLoc"Q"_clipsHeldObjects"{unordered_set<void *, std::hash<void *>, std::equal_to<void *>, std:
001bc3fc	0100	A	allocator<void *>>="__table_"{__hash_table<void *, std::hash<void *>, std::equal_to<void *>, std::allocator<void *>>="__bucket_list_"{unique_ptr<std::__hash_node_base<std::__hash_node<void *, void *> *> *[], std::__bucket_list_deallocator<std::allocator<st
001bc4fd	0100	A	::__hash_node_base<std::__hash_node<void *, void *> *> *>>>="__ptr_"{__compressed_pair<std::__hash_node_base<std::__hash_node<void *, void *> *> **, std::__bucket_list_deallocator<std::allocator<std::__hash_node_base<std::__hash_node<void *, void *> *> *>>
001bc5fe	0100	A	="__value_"^^v"__value_"{__bucket_list_deallocator<std::allocator<std::__hash_node_base<std::__hash_node<void *, void *> *> *>>="__data_"{__compressed_pair<unsigned long, std::allocator<std::__hash_node_base<std::__hash_node<void *, void *> *> *>>="__value
001bc6ff	0100	A	"Q}}}}"__p1_"{__compressed_pair<std::__hash_node_base<std::__hash_node<void *, void *> *>, std::allocator<std::__hash_node<void *, void *>>>="__value_"{__hash_node_base<std::__hash_node<void *, void *> *>="__next_"^v}}"__p2_"{__compressed_pair<unsigned lon
001bc800	68	A	, std::hash<void *>>="__value_"Q}"__p3_"{__compressed_pair<float, std::equal_to<void *>>="__value_"f}}}}
001bc869	0f	A	@"NSMutableSet"
001bc879	27	A	@"XRAnalysisCoreModelerBindingSolution"
001bc8a1	0100	A	{unordered_multimap<XRAnalysisCoreProjectorSpec *, XRAnalysisCoreProjector *, std::hash<XRAnalysisCoreProjectorSpec *>, std::equal_to<XRAnalysisCoreProjectorSpec *>, std::allocator<std::pair<XRAnalysisCoreProjectorSpec *const, XRAnalysisCoreProjector *>>>=
001bc9a2	0100	A	__table_"{__hash_table<std::__hash_value_type<XRAnalysisCoreProjectorSpec *, XRAnalysisCoreProjector *>, std::__unordered_map_hasher<XRAnalysisCoreProjectorSpec *, std::__hash_value_type<XRAnalysisCoreProjectorSpec *, XRAnalysisCoreProjector *>, std::hash<
001bcaa3	0100	A	RAnalysisCoreProjectorSpec *>, std::equal_to<XRAnalysisCoreProjectorSpec *>, true>, std::__unordered_map_equal<XRAnalysisCoreProjectorSpec *, std::__hash_value_type<XRAnalysisCoreProjectorSpec *, XRAnalysisCoreProjector *>, std::equal_to<XRAnalysisCoreProj
001bcba4	0100	A	ctorSpec *>, std::hash<XRAnalysisCoreProjectorSpec *>, true>, std::allocator<std::__hash_value_type<XRAnalysisCoreProjectorSpec *, XRAnalysisCoreProjector *>>>="__bucket_list_"{unique_ptr<std::__hash_node_base<std::__hash_node<std::__hash_value_type<XRAnal
001bcca5	0100	A	sisCoreProjectorSpec *, XRAnalysisCoreProjector *>, void *> *> *[], std::__bucket_list_deallocator<std::allocator<std::__hash_node_base<std::__hash_node<std::__hash_value_type<XRAnalysisCoreProjectorSpec *, XRAnalysisCoreProjector *>, void *> *> *>>>="__pt
001bcda6	0100	A	_"{__compressed_pair<std::__hash_node_base<std::__hash_node<std::__hash_value_type<XRAnalysisCoreProjectorSpec *, XRAnalysisCoreProjector *>, void *> *> **, std::__bucket_list_deallocator<std::allocator<std::__hash_node_base<std::__hash_node<std::__hash_va
001bcea7	0100	A	ue_type<XRAnalysisCoreProjectorSpec *, XRAnalysisCoreProjector *>, void *> *> *>>>="__value_"^^v"__value_"{__bucket_list_deallocator<std::allocator<std::__hash_node_base<std::__hash_node<std::__hash_value_type<XRAnalysisCoreProjectorSpec *, XRAnalysisCoreP
001bcfa8	0100	A	ojector *>, void *> *> *>>="__data_"{__compressed_pair<unsigned long, std::allocator<std::__hash_node_base<std::__hash_node<std::__hash_value_type<XRAnalysisCoreProjectorSpec *, XRAnalysisCoreProjector *>, void *> *> *>>="__value_"Q}}}}"__p1_"{__compressed
001bd0a9	0100	A	pair<std::__hash_node_base<std::__hash_node<std::__hash_value_type<XRAnalysisCoreProjectorSpec *, XRAnalysisCoreProjector *>, void *> *>, std::allocator<std::__hash_node<std::__hash_value_type<XRAnalysisCoreProjectorSpec *, XRAnalysisCoreProjector *>, void
001bd1aa	0100	A	*>>>="__value_"{__hash_node_base<std::__hash_node<std::__hash_value_type<XRAnalysisCoreProjectorSpec *, XRAnalysisCoreProjector *>, void *> *>="__next_"^v}}"__p2_"{__compressed_pair<unsigned long, std::__unordered_map_hasher<XRAnalysisCoreProjectorSpec *, 
001bd2ab	0100	A	td::__hash_value_type<XRAnalysisCoreProjectorSpec *, XRAnalysisCoreProjector *>, std::hash<XRAnalysisCoreProjectorSpec *>, std::equal_to<XRAnalysisCoreProjectorSpec *>, true>>="__value_"Q}"__p3_"{__compressed_pair<float, std::__unordered_map_equal<XRAnalys
001bd3ac	d5	A	sCoreProjectorSpec *, std::__hash_value_type<XRAnalysisCoreProjectorSpec *, XRAnalysisCoreProjector *>, std::equal_to<XRAnalysisCoreProjectorSpec *>, std::hash<XRAnalysisCoreProjectorSpec *>, true>>="__value_"f}}}
001bd482	0f	A	@"_XRWeakProxy"
001bd492	1b	A	@"<XRAnalysisCoreRegistry>"
001bd4ae	09	A	^Ac16@0:8
001bd4b8	0c	A	v24@0:8^Ac16
001bd4c5	25	A	@"<XRAnalysisCoreQueryContext>"16@0:8
001bd4eb	28	A	v24@0:8@"<XRAnalysisCoreQueryContext>"16
001bd514	2a	A	@"XRMobileAgent<XRMobileAgentOwner>"16@0:8
001bd53f	2d	A	v24@0:8@"XRMobileAgent<XRMobileAgentOwner>"16
001bd571	1f	A	@"<XRAnalysisCoreQueryContext>"
001bd591	24	A	@"XRMobileAgent<XRMobileAgentOwner>"
001bd5b6	19	A	@"XRAnalysisCoreRowArray"
001bd5d0	0d	A	@"NSProgress"
001bd5de	10	A	@36@0:8i16@20@28
001bd5ef	07	A	B16@0:8
001bd5f7	aa	A	{z_stream_s="next_in"*"avail_in"I"total_in"Q"next_out"*"avail_out"I"total_out"Q"msg"*"state"^{internal_state}"zalloc"^?"zfree"^?"opaque"^v"data_type"i"adler"Q"reserved"Q}
001bd6a2	1e	A	@"NSObject<OS_dispatch_queue>"
001bd6c1	1e	A	@"NSObject<OS_dispatch_group>"
001bd6e0	1b	A	@"NSObject<OS_dispatch_io>"
001bd6fc	1d	A	@"NSObject<OS_dispatch_data>"
001bd71e	0e	A	@32@0:8^I16Q24
001bd72d	0e	A	Q28@0:8c16@?20
001bd73c	0a	A	Q20@0:8I16
001bd747	0a	A	I24@0:8Q16
001bd752	a5	A	{vector<unsigned int, std::allocator<unsigned int>>="__begin_"^I"__end_"^I"__end_cap_"{__compressed_pair<unsigned int *, std::allocator<unsigned int>>="__value_"^I}}
001bd7f8	14	A	@24@0:8^{_NSZone=}16
001bd80d	0d	A	v28@0:8@16C24
001bd81b	19	A	v32@0:8{XRTimeRange=QQ}16
001bd835	16	A	{XRTimeRange=QQ}16@0:8
001bd84c	2a	A	@64@0:8r^v16{XRTimeRange=QQ}24c40Q44c52@56
001bd877	0100	A	{map<unsigned char, XRAnalysisCoreQueryDiscreteFilter, std::less<unsigned char>, std::allocator<std::pair<const unsigned char, XRAnalysisCoreQueryDiscreteFilter>>>="__tree_"{__tree<std::__value_type<unsigned char, XRAnalysisCoreQueryDiscreteFilter>, std::_
001bd978	0100	A	map_value_compare<unsigned char, std::__value_type<unsigned char, XRAnalysisCoreQueryDiscreteFilter>, std::less<unsigned char>, true>, std::allocator<std::__value_type<unsigned char, XRAnalysisCoreQueryDiscreteFilter>>>="__begin_node_"^v"__pair1_"{__compre
001bda79	0100	A	sed_pair<std::__tree_end_node<std::__tree_node_base<void *> *>, std::allocator<std::__tree_node<std::__value_type<unsigned char, XRAnalysisCoreQueryDiscreteFilter>, void *>>>="__value_"{__tree_end_node<std::__tree_node_base<void *> *>="__left_"^v}}"__pair3
001bdb7a	bf	A	"{__compressed_pair<unsigned long, std::__map_value_compare<unsigned char, std::__value_type<unsigned char, XRAnalysisCoreQueryDiscreteFilter>, std::less<unsigned char>, true>>="__value_"Q}}}
001bdc3a	23	A	@"XRAnalysisCoreFullTextSearchSpec"
001bdc5e	2b	A	@"<XRAnalysisCoreQueryFrameAccessor>"16@0:8
001bdc8a	21	A	@"XRAnalysisCoreTableQuery"16@0:8
001bdcac	11	A	@"XRAnalysisCore"
001bdcbe	25	A	@"<XRAnalysisCoreQueryFrameAccessor>"
001bdce4	1b	A	@"XRAnalysisCoreTableQuery"
001bdd00	14	A	@"XRMutableIndexSet"
001bdd15	0d	A	@"NSIndexSet"
001bdd23	0a	A	@"NSArray"
001bdd2e	0e	A	@"NSFormatter"
001bdd3d	0d	A	@32@0:8@16Q24
001bdd4b	2d	A	v40@0:8@16r^{XRAnalysisCoreWriteCursor=}24@32
001bdd79	14	A	v40@0:8r^v16Q24r^v32
001bdd8e	1d	A	{mach_timebase_info=II}16@0:8
001bddac	20	A	v24@0:8{mach_timebase_info=II}16
001bddcd	bf	A	{unique_ptr<DTTableRowDecoder, std::default_delete<DTTableRowDecoder>>="__ptr_"{__compressed_pair<DTTableRowDecoder *, std::default_delete<DTTableRowDecoder>>="__value_"^{DTTableRowDecoder}}}
001bde8d	ce	A	{unique_ptr<DTStateActionDecoder, std::default_delete<DTStateActionDecoder>>="__ptr_"{__compressed_pair<DTStateActionDecoder *, std::default_delete<DTStateActionDecoder>>="__value_"^{DTStateActionDecoder}}}
001bdf5c	10	A	@"NSMutableData"
001bdf6d	0100	A	{vector<NSMutableArray<XRAnalysisCoreImporter *> *, std::allocator<NSMutableArray<XRAnalysisCoreImporter *> *>>="__begin_"^@"__end_"^@"__end_cap_"{__compressed_pair<NSMutableArray<XRAnalysisCoreImporter *> *__strong *, std::allocator<NSMutableArray<XRAnaly
001be06e	24	A	isCoreImporter *> *>>="__value_"^@}}
001be093	f1	A	{unique_ptr<XRAnalysisCoreImporterCache, std::default_delete<XRAnalysisCoreImporterCache>>="__ptr_"{__compressed_pair<XRAnalysisCoreImporterCache *, std::default_delete<XRAnalysisCoreImporterCache>>="__value_"^{XRAnalysisCoreImporterCache}}}
001be185	25	A	{mach_timebase_info="numer"I"denom"I}
001be1ab	17	A	c48@0:8^v16^v24@32^Ac40
001be1c3	0d	A	q28@0:8Q16C24
001be1d1	0d	A	q28@0:8q16C24
001be1df	14	A	v44@0:8Q16C24@28@?36
001be1f4	14	A	Q44@0:8C16Q20^C28@36
001be209	0100	A	{XRPivotArray<_XRStorageManagerDirectAddress, std::tuple<XRAnalysisCoreSortLess &, XRAnalysisCoreSortLess &>, 1024>="_primaryStore"{StableStore="_store"{vector<std::unique_ptr<XRPivotArrayPivot<_XRStorageManagerDirectAddress, 2>[]>, std::allocator<std::uni
001be30a	0100	A	ue_ptr<XRPivotArrayPivot<_XRStorageManagerDirectAddress, 2>[]>>>="__begin_"^v"__end_"^v"__end_cap_"{__compressed_pair<std::unique_ptr<XRPivotArrayPivot<_XRStorageManagerDirectAddress, 2>[]> *, std::allocator<std::unique_ptr<XRPivotArrayPivot<_XRStorageMana
001be40b	0100	A	erDirectAddress, 2>[]>>>="__value_"^v}}"_used"i"_exposed"i}"_purgableStore"{StableStore="_store"{vector<std::unique_ptr<XRPivotArrayPivot<_XRStorageManagerDirectAddress, 2>[]>, std::allocator<std::unique_ptr<XRPivotArrayPivot<_XRStorageManagerDirectAddress
001be50c	0100	A	 2>[]>>>="__begin_"^v"__end_"^v"__end_cap_"{__compressed_pair<std::unique_ptr<XRPivotArrayPivot<_XRStorageManagerDirectAddress, 2>[]> *, std::allocator<std::unique_ptr<XRPivotArrayPivot<_XRStorageManagerDirectAddress, 2>[]>>>="__value_"^v}}"_used"i"_expose
001be60d	0100	A	"i}"_sortedDimensions"{array<std::vector<XRPivotArraySortEntry>, 2UL>="__elems_"[2{vector<XRPivotArraySortEntry, std::allocator<XRPivotArraySortEntry>>="__begin_"^{XRPivotArraySortEntry}"__end_"^{XRPivotArraySortEntry}"__end_cap_"{__compressed_pair<XRPivot
001be70e	bd	A	rraySortEntry *, std::allocator<XRPivotArraySortEntry>>="__value_"^{XRPivotArraySortEntry}}}]}"_dimensionsUsed"C"_chunkSize"i"_purgableSignatureBase"q"_sortState"i"_activeSortUnsortedLen"i}
001be7cc	a8	A	{XRSerializedAccess<XRAnalysisCorePivotArrayAgentQueue>="_guarded"{XRAnalysisCorePivotArrayAgentQueue="members"@"NSMutableArray"}"_queue"@"NSObject<OS_dispatch_queue>"}
001be875	0d	A	Q28@0:8q16C24
001be883	11	A	v36@0:8Q16C24@?28
001be895	11	A	Q36@0:8C16Q20^C28
001be8a7	11	A	v36@0:8@16C24@?28
001be8b9	36	A	v36@0:8Q16C24@?<v@?^{XRAnalysisCoreReadCursor=^^?I}>28
001be8f0	45	A	v36@0:8@"NSIndexSet"16C24@?<v@?^{XRAnalysisCoreReadCursor=^^?I}Q^c>28
001be936	10	A	@36@0:8@16I24@28
001be947	1b	A	@"XRAnalysisCorePivotArray"
001be963	27	A	v24@0:8@?<v@?I@"XRAnalysisCoreTable">16
001be98b	18	A	v24@0:8@"NSDictionary"16
001be9a4	43	A	@"XRAnalysisCoreProjector"28@0:8I16@"XRAnalysisCoreProjectorSpec"20
001be9e8	0100	A	{XRSerializedAccess<GuardedState>="_guarded"{GuardedState="disengageRequested"c"shouldDisengage"c"breachRecoveryRequested"c"recoveringBreach"c"disengageCompletionOp"@"NSOperation""disengageProgress"@"NSProgress""breachRecoveryProgress"@"NSProgress""breachR
001beae9	4e	A	coveryFinalOp"@"NSOperation""endTime"Q}"_queue"@"NSObject<OS_dispatch_queue>"}
001beb38	32	A	@"XRMobileAgent<XRAnalysisCoreConfigurationAgent>"
001beb6b	2a	A	@"XRAnalysisCoreConfigurationAccessTicket"
001beb96	2e	A	@"XRAnalysisCoreConfigurationInfoAccessTicket"
001bebc5	58	A	r^(XRImplementedValue=IQ@{XRUInt64Array=^QI}{XRTypedArray=^{XRTypedArrayEntry}I}d)16@0:8
001bec1e	19	A	(XRStoredValue=IQI)16@0:8
001bec38	0a	A	v24@0:8d16
001bec43	19	A	{XRUInt64Array=^QI}16@0:8
001bec5d	1f	A	v36@0:8{XRUInt64Array=^QI}16c32
001bec7d	1c	A	v32@0:8{XRUInt64Array=^QI}16
001bec9a	2d	A	v32@0:8{XRTypedArray=^{XRTypedArrayEntry}I}16
001becc8	2c	A	r^{XRTypedArray=^{XRTypedArrayEntry}I}16@0:8
001becf5	07	A	C16@0:8
001becfd	07	A	d16@0:8
001bed05	ad	A	(XRImplementedValue="uint32"I"uint64"Q"string"@"uint64Array"{XRUInt64Array="values"^Q"count"I}"typedArray"{XRTypedArray="values"^{XRTypedArrayEntry}"count"I}"fixedDecimal"d)
001bedb3	09	A	@"NSData"
001bedbd	ef	A	{vector<XRTypedArrayEntry, std::allocator<XRTypedArrayEntry>>="__begin_"^{XRTypedArrayEntry}"__end_"^{XRTypedArrayEntry}"__end_cap_"{__compressed_pair<XRTypedArrayEntry *, std::allocator<XRTypedArrayEntry>>="__value_"^{XRTypedArrayEntry}}}
001beead	33	A	{XRTypedArray="values"^{XRTypedArrayEntry}"count"I}
001beee3	1f	A	v24@0:8@"XRAnalysisCoreValue"16
001bef03	bd	A	{vector<unsigned long long, std::allocator<unsigned long long>>="__begin_"^Q"__end_"^Q"__end_cap_"{__compressed_pair<unsigned long long *, std::allocator<unsigned long long>>="__value_"^Q}}
001befc1	12	A	@"NSMutableString"
001befd8	f1	A	{unique_ptr<XRAnalysisCoreTableBindings, std::default_delete<XRAnalysisCoreTableBindings>>="__ptr_"{__compressed_pair<XRAnalysisCoreTableBindings *, std::default_delete<XRAnalysisCoreTableBindings>>="__value_"^{XRAnalysisCoreTableBindings}}}
001bf0ca	1c	A	@"XRAnalysisCoreTableSchema"
001bf0e7	22	A	@"XRAnalysisCoreBindingHemisphere"
001bf10a	23	A	@"XRAnalysisCoreModelingHemisphere"
001bf12e	0e	A	c28@0:8^@16S24
001bf13d	1b	A	c56@0:8^@16^@24^@32^c40^c48
001bf159	0f	A	c32@0:8^i16^@24
001bf169	0f	A	c32@0:8^Q16^@24
001bf179	12	A	v24@0:8@?<v@?QQ>16
001bf18c	0f	A	@"NSUUID"16@0:8
001bf19c	3e	A	v24@0:8@?<v@?@"<XREngineeringValue>"@"<XREngineeringValue>">16
001bf1db	1c	A	v24@0:8@?<v@?@"NSUUID"Q^c>16
001bf1f8	24	A	@40@0:8r^v16(XRStoredValue=IQI)24@32
001bf21d	46	A	c24@0:8^{XRStoredUInt64Array={XRUInt64Array=^QI}(XRStoredValue=IQI)}16
001bf264	0b	A	c24@0:8@?16
001bf270	93	A	c48@0:8^{XRBacktraceFragment=Ii(?={XRUInt64Array=^QI}{XRStoredUInt64Array={XRUInt64Array=^QI}(XRStoredValue=IQI)})}16^Q24^{XRUInt64Array=^QI}32^@40
001bf304	0f	A	c32@0:8^@16^Q24
001bf314	0f	A	c32@0:8^@16^@24
001bf324	0f	A	c32@0:8^Q16^Q24
001bf334	0a	A	q24@0:8@16
001bf33f	28	A	(XRStoredValue="uint32"I"uint64"Q"iid"I)
001bf368	17	A	c48@0:8^@16^q24^q32^@40
001bf380	0d	A	@32@0:8Q16@24
001bf38e	0a	A	@20@0:8S16
001bf399	13	A	@48@0:8@16q24q32@40
001bf3ad	0e	A	Q28@0:8r*16S24
001bf3bc	0b	A	Q24@0:8r*16
001bf3c8	29	A	Q36@0:8r*16c24[1{__va_list_tag=II^v^v}]28
001bf3f2	1f	A	@"<XRAnalysisCoreValueFactory>"
001bf412	0100	A	{unordered_map<const char *, std::unique_ptr<XRAnalysisCoreCompiledNarrative>, std::hash<const char *>, std::equal_to<const char *>, std::allocator<std::pair<const char *const, std::unique_ptr<XRAnalysisCoreCompiledNarrative>>>>="__table_"{__hash_table<std
001bf513	0100	A	:__hash_value_type<const char *, std::unique_ptr<XRAnalysisCoreCompiledNarrative>>, std::__unordered_map_hasher<const char *, std::__hash_value_type<const char *, std::unique_ptr<XRAnalysisCoreCompiledNarrative>>, std::hash<const char *>, std::equal_to<con
001bf614	0100	A	t char *>, true>, std::__unordered_map_equal<const char *, std::__hash_value_type<const char *, std::unique_ptr<XRAnalysisCoreCompiledNarrative>>, std::equal_to<const char *>, std::hash<const char *>, true>, std::allocator<std::__hash_value_type<const char
001bf715	0100	A	*, std::unique_ptr<XRAnalysisCoreCompiledNarrative>>>>="__bucket_list_"{unique_ptr<std::__hash_node_base<std::__hash_node<std::__hash_value_type<const char *, std::unique_ptr<XRAnalysisCoreCompiledNarrative>>, void *> *> *[], std::__bucket_list_deallocator
001bf816	0100	A	std::allocator<std::__hash_node_base<std::__hash_node<std::__hash_value_type<const char *, std::unique_ptr<XRAnalysisCoreCompiledNarrative>>, void *> *> *>>>="__ptr_"{__compressed_pair<std::__hash_node_base<std::__hash_node<std::__hash_value_type<const cha
001bf917	0100	A	 *, std::unique_ptr<XRAnalysisCoreCompiledNarrative>>, void *> *> **, std::__bucket_list_deallocator<std::allocator<std::__hash_node_base<std::__hash_node<std::__hash_value_type<const char *, std::unique_ptr<XRAnalysisCoreCompiledNarrative>>, void *> *> *>
001bfa18	0100	A	>="__value_"^^v"__value_"{__bucket_list_deallocator<std::allocator<std::__hash_node_base<std::__hash_node<std::__hash_value_type<const char *, std::unique_ptr<XRAnalysisCoreCompiledNarrative>>, void *> *> *>>="__data_"{__compressed_pair<unsigned long, std:
001bfb19	0100	A	allocator<std::__hash_node_base<std::__hash_node<std::__hash_value_type<const char *, std::unique_ptr<XRAnalysisCoreCompiledNarrative>>, void *> *> *>>="__value_"Q}}}}"__p1_"{__compressed_pair<std::__hash_node_base<std::__hash_node<std::__hash_value_type<c
001bfc1a	0100	A	nst char *, std::unique_ptr<XRAnalysisCoreCompiledNarrative>>, void *> *>, std::allocator<std::__hash_node<std::__hash_value_type<const char *, std::unique_ptr<XRAnalysisCoreCompiledNarrative>>, void *>>>="__value_"{__hash_node_base<std::__hash_node<std::_
001bfd1b	0100	A	hash_value_type<const char *, std::unique_ptr<XRAnalysisCoreCompiledNarrative>>, void *> *>="__next_"^v}}"__p2_"{__compressed_pair<unsigned long, std::__unordered_map_hasher<const char *, std::__hash_value_type<const char *, std::unique_ptr<XRAnalysisCoreC
001bfe1c	0100	A	mpiledNarrative>>, std::hash<const char *>, std::equal_to<const char *>, true>>="__value_"Q}"__p3_"{__compressed_pair<float, std::__unordered_map_equal<const char *, std::__hash_value_type<const char *, std::unique_ptr<XRAnalysisCoreCompiledNarrative>>, st
001bff1d	48	A	::equal_to<const char *>, std::hash<const char *>, true>>="__value_"f}}}
001bff66	0100	A	{unordered_map<std::string, unsigned long long, std::hash<std::string>, std::equal_to<std::string>, std::allocator<std::pair<const std::string, unsigned long long>>>="__table_"{__hash_table<std::__hash_value_type<std::string, unsigned long long>, std::__un
001c0067	0100	A	rdered_map_hasher<std::string, std::__hash_value_type<std::string, unsigned long long>, std::hash<std::string>, std::equal_to<std::string>, true>, std::__unordered_map_equal<std::string, std::__hash_value_type<std::string, unsigned long long>, std::equal_t
001c0168	0100	A	<std::string>, std::hash<std::string>, true>, std::allocator<std::__hash_value_type<std::string, unsigned long long>>>="__bucket_list_"{unique_ptr<std::__hash_node_base<std::__hash_node<std::__hash_value_type<std::string, unsigned long long>, void *> *> *[
001c0269	0100	A	, std::__bucket_list_deallocator<std::allocator<std::__hash_node_base<std::__hash_node<std::__hash_value_type<std::string, unsigned long long>, void *> *> *>>>="__ptr_"{__compressed_pair<std::__hash_node_base<std::__hash_node<std::__hash_value_type<std::st
001c036a	0100	A	ing, unsigned long long>, void *> *> **, std::__bucket_list_deallocator<std::allocator<std::__hash_node_base<std::__hash_node<std::__hash_value_type<std::string, unsigned long long>, void *> *> *>>>="__value_"^^v"__value_"{__bucket_list_deallocator<std::al
001c046b	0100	A	ocator<std::__hash_node_base<std::__hash_node<std::__hash_value_type<std::string, unsigned long long>, void *> *> *>>="__data_"{__compressed_pair<unsigned long, std::allocator<std::__hash_node_base<std::__hash_node<std::__hash_value_type<std::string, unsig
001c056c	0100	A	ed long long>, void *> *> *>>="__value_"Q}}}}"__p1_"{__compressed_pair<std::__hash_node_base<std::__hash_node<std::__hash_value_type<std::string, unsigned long long>, void *> *>, std::allocator<std::__hash_node<std::__hash_value_type<std::string, unsigned 
001c066d	0100	A	ong long>, void *>>>="__value_"{__hash_node_base<std::__hash_node<std::__hash_value_type<std::string, unsigned long long>, void *> *>="__next_"^v}}"__p2_"{__compressed_pair<unsigned long, std::__unordered_map_hasher<std::string, std::__hash_value_type<std:
001c076e	0100	A	string, unsigned long long>, std::hash<std::string>, std::equal_to<std::string>, true>>="__value_"Q}"__p3_"{__compressed_pair<float, std::__unordered_map_equal<std::string, std::__hash_value_type<std::string, unsigned long long>, std::equal_to<std::string>
001c086f	2e	A	 std::hash<std::string>, true>>="__value_"f}}}
001c089e	10	A	@36@0:8I16@20Q28
001c08af	1b	A	@"<XRAnalysisCoreReadOnly>"
001c08cb	10	A	@"NSArray"16@0:8
001c08dc	14	A	v24@0:8@?<v@?@Q^c>16
001c08f1	1f	A	@68@0:8@16@24@32#40I48I52I56@60
001c0911	19	A	@60@0:8@16@24@32#40I48@52
001c092b	1c	A	@60@0:8@16@24@32#40I48I52I56
001c094a	1c	A	@"XRDescriptorSubstitutions"
001c0967	10	A	@36@0:8@16c24@28
001c0978	13	A	@44@0:8@16c24:28@36
001c098c	14	A	@44@0:8@16c24@?28@36
001c09a1	15	A	@"NSValueTransformer"
001c09b7	10	A	@32@0:8@16c24i28
001c09c8	11	A	@36@0:8@16c24@?28
001c09da	0a	A	v20@0:8i16
001c09e5	0a	A	d24@0:8@16
001c09f5	10	A	v36@0:8@16s24@28
001c0a06	19	A	v36@0:8@"NSError"16s24@28
001c0a20	5f	A	{atomic<long>="__a_"{__cxx_atomic_impl<long, std::__cxx_atomic_base_impl<long>>="__a_value"Aq}}
001c0a80	5e	A	{atomic_flag="__a_"{__cxx_atomic_impl<bool, std::__cxx_atomic_base_impl<bool>>="__a_value"AB}}
001c0adf	0100	A	{unordered_set<unsigned long long, std::hash<unsigned long long>, std::equal_to<unsigned long long>, std::allocator<unsigned long long>>="__table_"{__hash_table<unsigned long long, std::hash<unsigned long long>, std::equal_to<unsigned long long>, std::allo
001c0be0	0100	A	ator<unsigned long long>>="__bucket_list_"{unique_ptr<std::__hash_node_base<std::__hash_node<unsigned long long, void *> *> *[], std::__bucket_list_deallocator<std::allocator<std::__hash_node_base<std::__hash_node<unsigned long long, void *> *> *>>>="__ptr
001c0ce1	0100	A	"{__compressed_pair<std::__hash_node_base<std::__hash_node<unsigned long long, void *> *> **, std::__bucket_list_deallocator<std::allocator<std::__hash_node_base<std::__hash_node<unsigned long long, void *> *> *>>>="__value_"^^v"__value_"{__bucket_list_dea
001c0de2	0100	A	locator<std::allocator<std::__hash_node_base<std::__hash_node<unsigned long long, void *> *> *>>="__data_"{__compressed_pair<unsigned long, std::allocator<std::__hash_node_base<std::__hash_node<unsigned long long, void *> *> *>>="__value_"Q}}}}"__p1_"{__co
